4298,3612,1
1415,2290,1
4607,173,1
1292,4438,0
1893,4226,0
3532,4963,0
656,4082,1
3434,1722,0
1819,2438,1
985,1895,0
4065,510,0
2855,3033,1
1657,3904,1
3896,1491,0
796,2018,0
4577,2734,0
4213,4661,1
3940,787,0
4534,1036,1
2627,3939,0
1103,4441,1
1745,2687,0
4411,2376,0
2219,4299,0
4302,4662,1
3639,620,0
3404,2961,1
211,815,0
1736,2750,0
590,265,0
2191,1748,0
484,100,0
3674,564,1
1956,1853,0
3863,2973,1
1005,2990,0
192,847,0
1030,335,1
1768,4178,0
3160,993,0
2050,4487,0
2486,3529,0
1249,3706,0
3421,2834,1
3444,1383,1
2860,3204,1
3868,253,0
4104,751,0
1569,1650,1
3604,4185,0
4758,4027,0
2188,1656,0
3424,2503,0
3135,188,0
491,3183,1
1802,2774,0
793,3987,0
3947,3949,0
4437,19,0
3892,4576,0
1455,402,0
1237,3061,0
4373,931,0
1197,1106,1
1850,3098,1
4606,1713,1
253,2453,0
124,4301,0
3248,3436,0
3578,4344,1
1303,314,1
4991,412,0
4178,2887,1
3679,4497,1
2245,1067,1
1064,2124,1
1772,933,0
532,2773,1
4859,1563,0
2978,3295,1
1241,2801,0
2017,2359,1
394,4112,0
721,954,0
3277,613,0
257,793,1
590,4294,0
2971,583,1
319,300,1
